game,score
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,0
38,0
39,2
40,1
41,2
42,1
43,2
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,2
53,0
54,0
55,0
56,0
57,1
58,2
59,3
60,1
61,1
62,2
63,2
64,2
65,0
66,2
67,1
68,2
69,4
70,4
71,1
72,1
73,3
74,4
75,8
76,3
77,14
78,1
79,4
80,19
81,2
82,16
83,16
84,28
85,16
86,22
87,34
88,18
89,22
90,27
91,30
92,19
93,26
94,30
95,38
96,40
97,15
98,13
99,17
100,26
101,27
102,46
103,14
104,16
105,17
106,37
107,22
108,18
109,18
110,39
111,12
112,39
113,10
114,20
115,30
116,25
117,25
118,27
119,17
120,34
121,13
122,26
123,48
124,18
125,26
126,20
127,33
128,18
129,41
130,41
131,17
132,22
133,19
134,19
135,22
136,22
137,42
138,43
139,13
140,53
141,27
142,15
143,21
144,19
145,21
146,37
147,22
148,15
149,13
150,20
151,34
152,32
153,31
154,36
155,24
156,24
157,21
158,45
159,36
160,31
161,35
162,48
163,18
164,31
165,40
166,24
167,36
168,17
169,13
170,31
171,26
172,30
173,17
174,22
175,35
176,18
177,25
178,16
179,37
180,28
181,21
182,23
183,27
184,31
185,35
186,25
187,35
188,21
189,28
190,31
191,22
192,29
193,20
194,37
195,17
196,38
197,25
198,22
199,22
200,21
201,23
202,29
203,39
204,28
205,22
206,24
207,28
208,13
209,32
210,23
211,5
212,29
213,37
214,38
215,25
216,32
217,30
218,23
219,19
220,12
221,36
222,11
223,23
224,29
225,18
226,34
227,16
228,16
229,16
230,30
231,25
232,31
233,20
234,16
235,25
236,33
237,36
238,36
239,17
240,23
241,26
242,18
243,24
244,28
245,23
246,22
247,37
248,27
249,33
250,14
251,35
252,29
253,26
254,13
255,17
256,38
257,36
258,43
259,33
260,22
261,41
262,21
263,12
264,29
265,19
266,39
267,13
268,39
269,35
270,31
271,27
272,12
273,19
274,33
275,27
276,15
277,15
278,30
279,26
280,18
281,13
282,36
283,17
284,30
285,48
286,26
287,35
288,25
289,7
290,26
291,26
292,27
293,21
294,30
295,17
296,29
297,16
298,27
299,33
300,19
301,20
302,30
303,28
304,19
305,19
306,22
307,19
308,26
309,13
310,37
311,41
312,36
313,17
314,21
315,19
316,34
317,27
318,24
319,21
320,30
321,20
322,25
323,44
324,30
325,20
326,20
327,42
328,18
329,33
330,33
331,25
332,24
333,12
334,14
335,23
336,16
337,20
338,27
339,21
340,26
341,21
342,17
343,31
344,19
345,15
346,34
347,16
348,42
349,27
350,37
351,26
352,19
353,23
354,22
355,42
356,23
357,15
358,34
359,12
360,17
361,31
362,37
363,25
364,43
365,33
366,19
367,40
368,40
369,33
370,49
371,30
372,23
373,29
374,26
375,33
376,37
377,23
378,20
379,17
380,28
381,30
382,14
383,25
384,18
385,9
386,10
387,24
388,29
389,14
390,17
391,20
392,21
393,22
394,8
395,26
396,46
397,19
398,20
399,27
400,24
